dataset_name,doi,journal,title,url
IRI Infoscan data,10.1002/hec.3883,Health Economics,Do differences in reported expenditures between household scanner data and expenditure surveys matter in health policy research?,https://onlinelibrary.wiley.com/doi/full/10.1002/hec.3883
IRI Infoscan data,10.1002/agr.21606,Agribusiness,Market power and farm-retail price transmission: The case of US fluid milk markets,https://onlinelibrary.wiley.com/doi/full/10.1002/agr.21606
IRI Infoscan data,10.1007/s10603-018-9396-x,Journal of Consumer Policy,Evidence from Retail Food Markets That Consumers Are Confused by Natural and Organic Food Labels,https://link.springer.com/article/10.1007/s10603-018-9396-x
IRI Infoscan data,10.1080/00036846.2018.1486016,Applied Economics,A tale of two Italian cities: brand-level milk demand and price competition,https://www.tandfonline.com/doi/full/10.1080/00036846.2018.1486016
IRI Infoscan data,10.1111/agec.12444,Agricultural Economics,Does a nutritious diet cost more in food deserts?,https://onlinelibrary.wiley.com/doi/full/10.1111/agec.12444
IRI Infoscan data,10.1002/jsfa.8633,Journal of the Science of Food and Agriculture,Extra‐virgin olive oil: are consumers provided with the sensory quality they want? A hedonic price model with sensory attributes,https://onlinelibrary.wiley.com/doi/full/10.1002/jsfa.8633
IRI Infoscan data,10.3168/jds.2015-10410,Journal of Dairy Science,The effects of retail concentration on retail dairy product prices in the United States,https://www.sciencedirect.com/science/article/pii/S0022030216301369?via%3Dihub
IRI Infoscan data,10.1016/j.aaspro.2016.02.014,Agriculture and Agricultural Science Procedia,Consumer Response to Quality Differentiation Strategies in Wine PDOs,https://reader.elsevier.com/reader/sd/pii/S2210784316300146?token=9CDC9B9D4B0A750392BC13597DC3285BFE3827C22AFBC85FC32435D9C9FB3771F634549FE703F5CA15B551C32E9D577D
IRI Infoscan data,10.1016/j.wep.2015.12.001,Wine Economics and Policy,Wine consumption and sales strategies: The evolution of Mass Retail Trading in Italy,https://www.sciencedirect.com/science/article/pii/S2212977415000332
IRI Infoscan data,10.1162/rest_a_00447,Review of Economics and Statistics,Variety Pass-Through: An Examination of the Ready-to-Eat Breakfast Cereal Market,https://www.mitpressjournals.org/doi/pdf/10.1162/REST_a_00447
IRI Infoscan data,10.1162/rest_a_00171,Review of Economics and Statistics,Identification With Imperfect Instruments,https://www.nber.org/papers/w14434.pdf
IRI Infoscan data,10.1515/1935-1682.3088,The B.E. Journal of Economic Analysis & Policy,The Effect of Mandated Exclusive Territories in the US Brewing Industry,https://www.degruyter.com/downloadpdf/j/bejeap.2012.12.issue-1/1935-1682.3088/1935-1682.3088.pdf
